dateok,dwell00
2017-12-02 12:40:20,1
2017-12-02 12:40:30,0
2017-12-02 12:40:40,72
2017-12-02 12:40:50,1
2017-12-02 12:41:00,1
2017-12-02 12:41:20,6
2017-12-02 12:41:50,1
2017-12-02 12:42:00,0
2017-12-02 12:42:10,10
2017-12-02 12:42:20,6
2017-12-02 12:42:40,4
2017-12-02 12:42:50,29
2017-12-02 12:43:00,8
2017-12-02 12:43:10,3
2017-12-02 12:43:30,48
2017-12-02 12:43:40,4
2017-12-02 12:44:00,2
2017-12-02 12:44:40,1
2017-12-02 12:44:50,0
2017-12-02 12:45:30,1
2017-12-02 12:45:50,5
2017-12-02 12:46:10,0
2017-12-02 12:46:20,0
2017-12-02 12:46:30,0
2017-12-02 12:46:40,4
2017-12-02 12:46:50,3
2017-12-02 12:47:00,4
2017-12-02 12:47:10,6
2017-12-02 12:47:20,5
2017-12-02 12:47:30,3
2017-12-02 12:47:40,8
2017-12-02 12:47:50,20
2017-12-02 12:48:00,2
2017-12-02 12:48:10,2
2017-12-02 12:48:30,9
2017-12-02 12:48:40,24
2017-12-02 12:48:50,4
2017-12-02 12:49:00,11
2017-12-02 12:49:10,3
2017-12-02 12:49:20,3
2017-12-02 12:49:40,50
2017-12-02 12:50:10,0
2017-12-02 12:50:20,2
2017-12-02 12:50:40,6
2017-12-02 12:50:50,3
2017-12-02 12:51:00,1
2017-12-02 12:51:20,2
2017-12-02 12:51:30,0
2017-12-02 12:51:40,0
2017-12-02 12:51:50,7
2017-12-02 12:52:10,1
2017-12-02 12:52:20,31
2017-12-02 12:52:30,1
2017-12-02 12:52:50,0
2017-12-02 12:53:00,2
2017-12-02 12:53:20,11
2017-12-02 12:53:30,8
2017-12-02 12:53:40,1
2017-12-02 12:54:20,3
2017-12-02 12:54:30,3
2017-12-02 12:54:40,19
2017-12-02 12:54:50,21
2017-12-02 12:55:00,0
2017-12-02 12:55:20,4
2017-12-02 12:55:30,3
2017-12-02 12:55:40,5
2017-12-02 12:56:00,0
2017-12-02 12:56:20,22
2017-12-02 12:56:30,8
2017-12-02 12:56:40,10
2017-12-02 12:56:50,8
2017-12-02 12:57:00,4
2017-12-02 12:57:10,8
2017-12-02 12:57:40,25
2017-12-02 12:58:00,5
2017-12-02 12:58:10,0
2017-12-02 12:58:20,8
2017-12-02 12:58:30,8
2017-12-02 12:58:50,1
2017-12-02 12:59:00,6
2017-12-02 12:59:10,4
2017-12-02 13:00:00,0
2017-12-02 13:00:20,1
2017-12-02 13:00:40,106
2017-12-02 13:01:00,7
2017-12-02 13:01:10,12
2017-12-02 13:01:20,1
2017-12-02 13:01:40,2
2017-12-02 13:02:00,10
2017-12-02 13:02:10,9
2017-12-02 13:02:20,13
2017-12-02 13:02:30,5
2017-12-02 13:02:50,1
2017-12-02 13:03:00,9
2017-12-02 13:03:10,5
2017-12-02 13:03:20,2
2017-12-02 13:03:30,47
2017-12-02 13:03:40,14
2017-12-02 13:04:00,10
2017-12-02 13:04:10,11
2017-12-02 13:04:40,4
2017-12-02 13:05:30,18
2017-12-02 13:06:00,2
2017-12-02 13:06:10,5
2017-12-02 13:06:20,1
2017-12-02 13:06:30,3
2017-12-02 13:06:40,0
2017-12-02 13:07:00,17
2017-12-02 13:07:20,0
2017-12-02 13:07:50,4
2017-12-02 13:08:10,0
2017-12-02 13:09:00,12
2017-12-02 13:09:20,1
2017-12-02 13:09:30,0
2017-12-02 13:09:40,10
2017-12-02 13:09:50,31
2017-12-02 13:10:20,6
2017-12-02 13:10:30,40
2017-12-02 13:11:10,12
2017-12-02 13:11:20,23
2017-12-02 13:11:30,1
2017-12-02 13:11:40,1
